method,split,num_bins,per_timestep,pos_loss,xy_mse,xy_mae,max_error_by_second,p99_error_by_second,notes
xy_uniform_bins,train,50,False,0.11323904246091843,0.23054639995098114,0.3944968283176422,1s=1.467770 2s=1.467537 3s=1.468082 4s=1.466201 5s=1.468531,1s=1.382054 2s=1.388615 3s=1.400972 4s=1.396126 5s=1.391380,absolute_xy_centers
xy_uniform_bins,val,50,False,0.11047497391700745,0.22474783658981323,0.3905249238014221,1s=1.462981 2s=1.466774 3s=1.466465 4s=1.467387 5s=1.466957,1s=1.397281 2s=1.332420 3s=1.363819 4s=1.370701 5s=1.408838,absolute_xy_centers
mlp_fsq_best_val,train,,,0.006023510397878823,,,1s=1.450060 2s=1.082405 3s=0.717590 4s=0.918917 5s=1.063305,1s=0.495317 2s=0.386981 3s=0.376445 4s=0.476158 5s=0.480004,checkpoint_epoch=973
mlp_fsq_best_val,val,,,0.014193635391837876,,,1s=1.906581 2s=3.294484 3s=4.017531 4s=4.960294 5s=5.520833,1s=0.536941 2s=0.530983 3s=0.685823 4s=0.746115 5s=0.828350,checkpoint_epoch=973
