method,split,num_bins,per_timestep,pos_loss,xy_mse,xy_mae,max_error_by_second,notes
xy_uniform_bins,train,50,False,0.11323904246091843,0.23054639995098114,0.3944968283176422,1s=1.467770 2s=1.467537 3s=1.468082 4s=1.466201 5s=1.468531,absolute_xy_centers
xy_uniform_bins,val,50,False,0.11047497391700745,0.22474783658981323,0.3905249238014221,1s=1.462981 2s=1.466774 3s=1.466465 4s=1.467387 5s=1.466957,absolute_xy_centers
mlp_fsq_best_val,train,,,0.006351470525513199,,,1s=1.460191 2s=0.822708 3s=0.809450 4s=1.090492 5s=1.059501,checkpoint_epoch=935
mlp_fsq_best_val,val,,,0.0160009749711324,,,1s=2.319546 2s=3.887117 3s=3.857877 4s=4.569462 5s=5.257017,checkpoint_epoch=935
