method,split,num_bins,per_timestep,pos_loss,xy_mse,xy_mae,max_error_by_second,notes
xy_uniform_bins,train,50,False,0.11323904246091843,0.23054639995098114,0.3944968283176422,1s=1.467770 2s=1.467537 3s=1.468082 4s=1.466201 5s=1.468531,absolute_xy_centers
xy_uniform_bins,val,50,False,0.11047497391700745,0.22474783658981323,0.3905249238014221,1s=1.462981 2s=1.466774 3s=1.466465 4s=1.467387 5s=1.466957,absolute_xy_centers
mlp_fsq_best_val,train,,,0.01756841150676018,,,1s=1.620857 2s=1.554985 3s=1.976387 4s=2.457771 5s=3.301590,checkpoint_epoch=235
mlp_fsq_best_val,val,,,0.03742622570458786,,,1s=5.145096 2s=9.629272 3s=12.908590 4s=14.049379 5s=13.162736,checkpoint_epoch=235
