method,num_tokens,num_codes,xy_mse,xy_mae,max_error,p90_error,p99_error,max_first3s_p99,p99_by_second,avg_used_codes,used_codes_by_token
naive_xy_bins_71x71,10,5041,0.19068272411823273,0.2734839916229248,19.320648193359375,0.6605890989303589,0.831353485584259,0.8340260982513428,1s=0.830951 2s=0.834026 3s=0.833140 4s=0.823479 5s=0.839960,,
residual_kmeans_vq_xy,10,32,0.04137362912297249,0.05630139261484146,6.625751495361328,0.11485078930854797,0.5313807129859924,0.6102623343467712,1s=0.329356 2s=0.610262 3s=0.445177 4s=0.574628 5s=0.876712,31.700000762939453,32 32 31 32 32 31 31 32 32 32
